Smiles, InchIKey
CCCCNC(=S)N/N=C/C1=C(C)C=CS1, SUTWUYBMBWPLMW-MDWZMJQESA-N
CN1C(SCC2=NC(C3=CC=CS3)=NO2)=NN=C1C1CCCCC1, RIYHJWOTNJXDLV-UHFFFAOYSA-N
O=C(O)CC(NC(=O)C1=CN=CC=N1)C1=CC=CC=C1Cl, OGNBARHGQVMGGX-UHFFFAOYSA-N
O=S(=O)(C1=CC=CC=C1)N1CCN(C2=NOC3=CC=CC(Cl)=C23)CC1, WQEXDIRUOYNDCM-UHFFFAOYSA-N
CCC[C@@H](C)N(C1=CC(Cl)=CC=C1CO)S(=O)(=O)C1=CC=C(C)C=C1, YEGVLLQDOGYWDQ-OAHLLOKOSA-N
CN1C(=O)C2=C(N=C(N3CCC[C@@H](N)C3)N2CC2=CC(F)=CC=C2Cl)C2=CC=C(C(=O)O)C=C12, CSYFJLPYVQTDCQ-MRXNPFEDSA-N
CNC(=O)C1=CC=CC2=C1N=C(C1=CC=CC=C1O)N2CC1=CC=CC=C1, JGGVCLFLOLHMSW-UHFFFAOYSA-N
C[C@]12CC[C@H](S)C[C@H]1CCC1C3=CC[C@H](C4=CC(=O)OC4)[C@@]3(C)CCC21, AKVQZCLFNIRFEL-UDISHMIDSA-N
CC1=C(C(=O)OCC2=CC=CC=C2)C(C2=CC=C(C3=CC=CC=C3C)C=C2)NC(=S)N1CCCCCC1=NN=NN1, QCIMKMDGHYXCEB-UHFFFAOYSA-N
CC(C)CC1=CC(C(=O)NCC2=CC=CN=C2)=NO1, SDKIBDZIDPFNHT-UHFFFAOYSA-N
COC(=O)CC1NN=C2N(CCN2C2=CC=C(Cl)C=C2)C1=O, CGVTXIMVAPAPNK-UHFFFAOYSA-N
CCN1C2=NC=C(COC3=CC=CC(C(=O)O)=C3)C=C2C(=O)N(C)C2=CC=C(Cl)N=C12, LWTPUALMLDLRFE-UHFFFAOYSA-N
CC1=C(NC(=S)N/N=C\C2=CC=CC=C2O)C(=O)N(C2=CC=CC=C2)N1C, OAGNFKCWXVXZJD-NDENLUEZSA-N
C[C@@H](O)C1=NC(C2=NC(C3=NC(CO)=CS3)=CS2)=CS1, YBVUWGYHDUMFEA-ZCFIWIBFSA-N
CCCCCCCCCCCC(=O)CCCC, GASJOQPNNSMIFF-UHFFFAOYSA-N
C=CC1=C(N)N=CN=C1N1CCC(C2=NC(C3=CC=C(C(F)(F)F)C(F)=C3)=CN2CCN2CCCC2)CC1, LTLAIOBQBYOIBO-UHFFFAOYSA-N
O=C1/C(=N/C2=CC=C(O)C=C2)C(Cl)=C(O)C2=CC=CC=C12, SWVJYUGDITUJRT-NBVRZTHBSA-N
O=C(O)CC[C@H](NC(=O)C1=CC=CC(C2=CC=CC=C2)=N1)C(=O)N1CCN(C(=O)OCCCC(F)(F)F)CC1, OBULHRRJFXTYED-NRFANRHFSA-N
CC(=O)NC1=C2C(=NN1C1=CC=CC=C1)C[S+]([O-])C2, YVKRFZYIMJJBFA-UHFFFAOYSA-N
O=C(O)CSC(C(=O)NC1=CC=C(Cl)C=C1)C1=CC=CC=C1, QEYOHPDHFPXPHI-UHFFFAOYSA-N
